created_at,username,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,tweet_url
Fri Aug 02 06:46:44 +0000 2024,JatiTeodosia,@telurpecah21 @NyimasLaula Infrastuktur nya didukung dibangun terus damn bruh timnas aja baru bangun training center di ikn itu juga uangnya ga sepenuh dari pemerintah tapi dibantu fifa,0,0,0,0,in,1540795436273106944,1819169177644814436,https://x.com/JatiTeodosia/status/1819263547542851749
Tue Jul 30 16:26:13 +0000 2024,fregnand88,@psi_id Justru IKN jauh dari kata pemerataan pembangunan. Justru uang pendidikan kesehatan infrastuktur daerah lain dll semua diambil buat membangun IKN. Salah kaprah dan salah urus kok dilanjutkan.,0,0,0,0,in,1647992208455528448,1817746210670964896,https://x.com/fregnand88/status/1818322213868834916
Mon Jul 29 05:21:30 +0000 2024,jackjackparrr,Gini pak saya kasih highlight isi ide video campaign untuk MEYAKINKAN atau membangun TRUST orang-orang supaya mau datang ke IKN terutama investor untuk mensupport 1. Infrastuktur teknologi. Internet cepat smart city solutions atau infrastruktur digital yang mendukung bisnis,0,1,0,0,in,1011699904933064709,1817792544031592578,https://x.com/jackjackparrr/status/1817792544031592578
Sun Jul 28 12:28:43 +0000 2024,keuangannews_id,Jokowi Rencananya Akan Resmikan Infrastuktur Tol dan Persiapan Sidang Kabinet di IKN https://t.co/02VfSK3Qx6 lewat @Keuangan News,0,2,2,1,in,1226436091617505281,1817537671205720455,https://x.com/keuangannews_id/status/1817537671205720455
Thu Jul 25 09:22:39 +0000 2024,inilahdotcom,Presiden Joko Widodo atau Jokowi mengaku masih menunggu kesiapan infrastuktur dasar di Ibu Kota Nusantara (IKN). Kepala negara mengatakan dirinya juga tengah menanti fasilitas untuk menggelar sidang kabinet. Kalau semuanya sudah siap. Kalau kursinya belum ada gimana? duduk https://t.co/19qgl8MuAs,0,0,0,0,in,46693036,1816403683581755869,https://x.com/inilahdotcom/status/1816403683581755869
Sun Jul 14 11:43:24 +0000 2024,marrymejaemin,Alih alih membangun infrastuktur merata di seluruh kalimantan pemrentah malah bangun IKN. Kelen makan la tu istana baru dinasti kocak,0,0,0,1,in,1438423987327963136,1812452834149027875,https://x.com/marrymejaemin/status/1812452834149027875
Fri Jul 12 13:15:00 +0000 2024,seide_id,Infrastuktur Belum Siap Jokowi Batal Pindah ke IKN di Bulan Juli ini https://t.co/hRvXVxxAYm,0,0,0,0,in,1391945630159753216,1811751111499411556,https://x.com/seide_id/status/1811751111499411556
Wed Jul 10 23:55:02 +0000 2024,zola_papazola2,@tempodotco ini makin menunjukkan bahwa proyek IKN banyak masalah. selain tidak ad investor asing yg minat dalam pembangunan nya juga banyak kekurangan yg tidak siap. spertinya dibangun ngasal secara partial tidak terintegrasi dengan fasilitas dan infrastuktur https://t.co/nwj413pPbd,0,0,0,0,in,1603755870391013377,1811178892587397205,https://x.com/zola_papazola2/status/1811187404319130040
Wed Jul 10 11:12:48 +0000 2024,garudatvnews,Presiden Jokowi Pastikan kesiapan Infrastuktur IKN Jelang Pemindahan Ibu Kota https://t.co/3NgOXo4tLS https://t.co/B480lkP3M7,0,0,0,0,in,502140136,1810995583508996494,https://x.com/garudatvnews/status/1810995583508996494
Wed Jul 10 09:49:49 +0000 2024,dancersejati07,Juli 50 tahun lagi. 9 Juli 2024: Jokowi Sebut Akan Pindah ke IKN Saat Infrastuktur Telah Rampung https://t.co/87f6OgUguN #TagihJokowiJuliDiIKN #TagihJokowiJuliDiIKN,0,0,1,1,in,1605747132014637061,1810974702019772746,https://x.com/dancersejati07/status/1810974702019772746
Wed Jul 10 09:48:28 +0000 2024,dancersejati07,Berarti Juli 50 tahun lagi. 9 Juli 2024: Jokowi Sebut Akan Pindah ke IKN Saat Infrastuktur Telah Rampung https://t.co/87f6OgUguN #TagihJokowiJuliDiIKN #TagihJokowiJuliDiIKN,0,0,1,1,in,1605747132014637061,1810974361865896374,https://x.com/dancersejati07/status/1810974361865896374
Wed Jul 10 03:36:02 +0000 2024,Srik4ndiMuslim2,Juli 1.000 tahun lagi? Gak usah deh. 9 Juli 2024: Jokowi Sebut Akan Pindah ke IKN Saat Infrastuktur Telah Rampung https://t.co/DDOo5jk7Lm #TagihJokowiJuliDiIKN #TagihJokowiJuliDiIKN,3,1,11,14,in,1629530059265703938,1810880635722158192,https://x.com/Srik4ndiMuslim2/status/1810880635722158192
Tue Jul 09 07:07:34 +0000 2024,KinkinAsikin1,@tempodotco Kapan infrastuktur IKN rampung? Sepertinya Jokowi keburu lengser,0,0,0,0,in,967247533553561601,1810449845246910791,https://x.com/KinkinAsikin1/status/1810571479072874877
Tue Jul 09 00:10:40 +0000 2024,JokoLipService,Jokowi batal pindah kantor ke IKN bulan ini terkendala infrastuktur belum siap. Mau pindah aja ngga pakai perhitungan. Bicara sih gampang Juli. https://t.co/T5ng4qYEqJ,0,0,0,0,in,2377644162,1810466565856621004,https://x.com/JokoLipService/status/1810466565856621004
Tue Jul 09 00:08:20 +0000 2024,PawiroTumin,@tempodotco Bapak Jokowi infrastuktur akan siap si IKN itu mungkin bertahun tahun lagi dan prediksi saya IKN akan mangkrak??? Apa bpk percaya Prabowo akan melanjutkan IKN uang dari mana......?,0,0,0,5,in,1456979709984608263,1810449845246910791,https://x.com/PawiroTumin/status/1810465977714549196
Mon Jul 08 23:04:14 +0000 2024,tempodotco,Jokowi Sebut Akan Pindah ke IKN Saat Infrastuktur Telah Rampung https://t.co/0nEtrkNTBu #TempoVideo,15,167,11,65,in,18129942,1810449845246910791,https://x.com/tempodotco/status/1810449845246910791
Sun Jul 07 07:54:50 +0000 2024,RadioElshinta,Janga Lewatkan #PowerBreakfast Senin (8/7) bersama Ketua Satgas Pelaksanaan Pembangunan Infrastuktur Ibu Kota Negara (IKN) Danis Hidayat Sumdadilaga. LIVE di Radio Elshinta 90 FM dan Media Sosial Elshinta! https://t.co/IQeHpojZGh,0,0,0,0,in,121640063,1809858599738569147,https://x.com/RadioElshinta/status/1809858599738569147
Fri Jul 05 06:47:18 +0000 2024,ruangantihoax,@ewangiggs jgn diputarbalikkan bung. justru diprediksi produksi akan meningkat krn bnyaknya permintaan dr ikn seiring kemudahan akomodasi transport infrastuktur apalagi mulai pindahnya para ASN TNI dan Polri ke IKN agustus nanti.,0,0,0,0,in,1509691617501876231,1809107535980605832,https://x.com/ruangantihoax/status/1809116830126199242
Thu Jul 04 09:18:21 +0000 2024,sokoguruid,DPR Nilai Pembangunan Infrastruktur IKN Berjalan Lambat https://t.co/zLsBp8FG46 Pemerintah harus menunjukkan keseriusan dalam mengejar target pembangunan infrastruktur IKN terutama menjelang perayaan HUT ke-79 Kemerdekaan RI. #InfrastukturIKN #Pembangunan https://t.co/YJDHWhRQr5,0,0,0,0,in,1443139240515096578,1808792453266256214,https://x.com/sokoguruid/status/1808792453266256214
Wed Jul 03 07:17:46 +0000 2024,Metro_TV,Anggota Komisi V DPR RI melakukan kunjungan kerja spesifik ke Ibu Kota Nusantara (IKN) dalam rangka meninjau langsung progress pembangunan infrastuktur yang sedang telah dan akan dilakukan. #dprri #komisivdprri #ikn #ibukotanusantara #pembangunanikn https://t.co/fN2Zkc4Vlb,0,1,1,1,in,57261519,1808399718726394133,https://x.com/Metro_TV/status/1808399718726394133
Mon Jan 29 14:55:10 +0000 2024,anggisdinata,@geloraco Banyak proyek infrastuktur jokowi yang gagal/tidak menguntungkan bukannya belajar dari pengalaman malah semakin jorjoran bangun IKN.,0,0,0,0,in,970332976167796736,1751849643183603975,https://x.com/anggisdinata/status/1751982322851918291
Wed Jan 24 04:59:21 +0000 2024,fakhrulrj,Mereka jg bilang kalo IKN ini jd terealisasi kemungkinan mereka &amp; anak2 mereka akan jd gelandangan yg skrg ada dijakarta. Jgn bilang kalo mereka cm mengeluh tanpa berusaha karna jk mereka tertinggal itu jg karna pemerintah cm mementingkan infrastuktur tanpa peduli kualitas SDMnya,0,1,0,0,in,228021090,1750019807364415772,https://x.com/fakhrulrj/status/1750020441702531401
Sun Jan 21 12:26:10 +0000 2024,officialntv_,Kemudian ia juga mewaspadai terkait pembangunan Ibu Kota Negara (IKN) Nusantara yang dapat memicu konflik agraria yang baru. #BreakingNews #DebatCawapres #MuhaiminIskandar #GibranRakabuming #MahfudMD #KPU #IKN #infrastuktur #pangan #hutan #nusantaratv,0,0,0,0,in,1465529152136568833,1749045179003342974,https://x.com/officialntv_/status/1749045721700196760
Thu Jan 18 09:42:18 +0000 2024,zenondown,@tempodotco Gimana mau bngun IKN klo panglima infrastuktur mundur. Kapal mulai Oleng ... Nahkodanya Sambil mabok .. ABK pada mulai loncat satu persatu,1,13,20,409,in,1281146731481034753,1747911483814735928,https://x.com/zenondown/status/1747917320536875475
Sat Jan 06 22:23:10 +0000 2024,healingdisosmed,@sosmedkeras Pembangunan pulau Jawa yg besar²an dan selalu update mngkin krena menjadi pusat pemerintahan ya? Biar dipandang bagus sama negara luar. Tapi semoga dngn adanya IKN di Kalimantan infrastuktur nya jadi semakin merata (gak cuman jalan tol tapi transportasi lainnya juga berkembang),0,0,0,0,in,1555877795515215872,1743653766266773525,https://x.com/healingdisosmed/status/1743760143379300820
Fri Jan 05 12:25:40 +0000 2024,Picalistic,Mari berkhayal.. Gue klo jd pr3siden bakal fokus dg masalah pendidikan (khususny masalah sekolah 3T dan kurikulum nya) lapangan pekerjaan (pengangguran banyak) infrastuktur (ngelanjutin pembangunan pak Jk dan IKN) dan militer (kita mau pindah ibukota trus wilayah kita rawan),0,0,0,0,in,1295628723199152130,1743247390596075736,https://x.com/Picalistic/status/1743247390596075736
Thu Dec 28 14:18:27 +0000 2023,diantaratitik,@fajarnugros Infrastuktur buat apa kalau mau berobat harus terbang dulu ke IKN? Ya mending batalin IKN bangun rumah sakit kelas A disetiap ibu kota provinsi atau disetiap daerah yang butuh. IKN butuh dana 500T lebih 1 rumah sakit kelas butuh 1T doang. Pilih mana? Gimana? ,0,2,0,12,in,167796481,1740244887294083574,https://x.com/diantaratitik/status/1740376668974485508
Thu Dec 28 07:39:44 +0000 2023,NelfidaDjamil,@sociotalker Kuereeen banget jawabnnya prof langsung ke ulu hati. Bisa2nya mrk memvisikan orang dr papua berobatnya ke IKN kenapa nggk bangun infrastuktur termasuk RS yg lengkap di tiap2 kota termasuk di Papua sehingga kalau sakit mrk tdk perlu berobat keluar daerahnya.,0,0,0,0,in,924774277060091905,1739990822320500739,https://x.com/NelfidaDjamil/status/1740276329172684964
Tue Dec 26 10:56:58 +0000 2023,HaikalAlbara,@Yurissa_Samosir @AdamVelcro @AdeDhani9 @AkalSehat2024 @aking_adit @chaidar_2000 @Kang_Toniee @NohCeukenohhh @RidNgemil @choymarkochoy Apakah standar untuk bisa jadi Presiden adalah melanjutkan/stop IKN? Masih banyak program2 lain bukan hanya IKN Rumah Sakit/Puskesmas Sekolah Pupuk subsidi rumah BBM Subsidi infrastuktur jalan dll,0,0,0,2,in,1680963456282021888,1739580697692803334,https://x.com/HaikalAlbara/status/1739601188977582176
Mon Dec 25 09:56:30 +0000 2023,mledukjon,@onseven_saif @djuangkrik88 @DadangRusdi @dodojogja2 @aniesbaswedan Edukasi apanya? Apakah masyarakat Kalimantan ga berhak punya infrastuktur yg modern? Jangan kau bilang alasan masih banyak yg lapar ga perlu ikn. Negara maju yg kelaparan tetep ada. Mestinya kalian lah penolak infrastuktur harus di edukasi.,0,0,0,0,in,3006275774,1739167777330782671,https://x.com/mledukjon/status/1739223586320363630
Sat Dec 23 20:03:59 +0000 2023,AlhadiStef44186,@fadlizon @narasitv @NajwaShihab @gibran_tweet Hilirisasi generasi emas stunting makan grts IKN. apapun pertanyaan dan pembahasanya diplomasi =&gt;hilirisasi =&gt;infrastuktur sosial=&gt;stunting=&gt;mkn grtis=&gt;genersi emas=&gt;pemerataan kota=&gt;IKN. Yang bikin pusing.(carbone storage hilirisasi digital SGIE),0,0,0,2,in,1715889571609890816,1738404631343210985,https://x.com/AlhadiStef44186/status/1738651689195086199
Sat Dec 23 14:54:09 +0000 2023,Bisniscom,Gibran Sebut IKN sebagai Komitmen Pemerataan Ekonomi dan Makan Siang Gratis sebagai Infrastuktur Sosial https://t.co/UzUOSE2Gxb,1,0,0,0,in,118646322,1738573713375903841,https://x.com/Bisniscom/status/1738573713375903841
Sat Dec 23 11:13:11 +0000 2023,sat0ruu3,@cakimiNOW dibanding merevasilitasi dan membangun infrastuktur baru dan itu belum termasuk dana buat membangun 40 kota setara metropolitan lebih baik melanjutkan ikn sbg ibukota baru Indonesia pak hehehe ga ingat klo jakarta mau tenggelam?,0,0,0,0,in,1650287287467638784,1738187378303680794,https://x.com/sat0ruu3/status/1738518106404966591
Fri Dec 22 18:21:09 +0000 2023,budak904,@GantineRamane @NyaiiBubu @gibran_tweet Makanya hanya manusia yang baru lahir tadi subuh yang anggap si samsul itu nyambung dalam menjawab pertanyaan terkait diplomasi intenasional kenaikan pajak investor ikn dan infrastuktur sosial.,1,0,2,8,in,1410514936212508676,1738252189322391997,https://x.com/budak904/status/1738263420024295545
Fri Dec 22 13:30:40 +0000 2023,catchmeupco,Pertanyaan ketiga: Pembangunan Infrastuktur FISIK atau Pembangunan SDM??? Mas Gibran: Dua-duanya penting. Karena Indonesia emas -&gt;&gt; Generasi emas. Tidak semua harus pake APBN. IKN aja cuma 20% pake APBN. Sisanya investor. Pak Mahfud: Lah investor siapa nih mas maksudnya?,2,1,1,6,in,1162545299614662656,1738167494488330495,https://x.com/catchmeupco/status/1738190317525008845
Fri Dec 22 13:28:47 +0000 2023,anginlewat,Maksud cak imin drpd bangun ikn mending prioritasin kembangkan kota2 yg sudah ada dulu krn dasar2 infrastuktur sdh ada di kota2 tsb jd investasi yg dibutuhkan lbh kecil #DebatCawapres,0,0,1,4,in,198783754,1738189843417686451,https://x.com/anginlewat/status/1738189843417686451
Mon Dec 04 13:00:42 +0000 2023,dbduebeejn,@Ferignw21 Bener nih adanya IKN akan membuat pembangunan infrastuktur kita lebih merata #CapresSesatTolakIKN,0,0,0,0,in,1711953933319671808,1731656328316338626,https://x.com/dbduebeejn/status/1731659796565418241
Mon Dec 04 12:57:30 +0000 2023,shsjebeejenej,@CFebta IKN ini ada agar infrastuktur kita semakin merata #CapresSesatTolakIKN,0,0,0,0,in,1711950602778128384,1731656003014595039,https://x.com/shsjebeejenej/status/1731658990827012249
Sun Dec 03 13:55:02 +0000 2023,Jotuna2020,@Kremata_Channel @Pengabdi_Crypto @kumparan Kaji ulang IKN atau kereta cepat silakan yg kurang ditambahin yg berlebihan dikurangin. Yg penting babat habis koruptor. InsyaAllah banyak pembangunan2 infrastuktur atau program2 lain yg bisa dijalankan.,0,0,0,0,in,1719506370201100288,1729847319875740020,https://x.com/Jotuna2020/status/1731311080969011697
Thu Nov 23 05:34:20 +0000 2023,sinkretisme_,@pemantautemlen1 @hereforsungjin @Kop15achet @Rezasyariatii Wkwkwkw kok ya percaya fokus mau dialihkan ke kalimantan? kalkulasi materi aja udah susah emg harus proyeksinya jauh dan paradigma pembangunannya jelas. Kalo masy masih kemakan pemb infrastuktur yaudah disitu aja kita. Paradigma pemb ga jelas IKN skrg,0,0,0,0,in,1448467196942843907,1727228260688552323,https://x.com/sinkretisme_/status/1727561197376110957
Thu Nov 23 04:20:16 +0000 2023,suryasena53,Ini capres gimana sih? Bicara kemakmuran merata tdk perlu bangun infrastuktur? Eh busset!!! Bgmn petani/peternak distribusi hsl nya kalau jalan rusak? Berputar dan makan waktu biaya? IKN mmg terlalu dipaksakan! Beda dg jalan Tol dll!,1,0,0,0,in,1297043782874013696,1727542557440200889,https://x.com/suryasena53/status/1727542557440200889
Mon Nov 20 16:01:25 +0000 2023,saragihruth22,Telkom Indonesia dukung penuh penyediaan infrastuktur dan layanan di IKN #ElevatingYourFuture #KinerjaPositifBUMN @KemenBUMN @Telkomindonesia @erickthohir https://t.co/f20h21QJix,0,0,0,0,in,1691012553064017920,1726631842865099057,https://x.com/saragihruth22/status/1726631842865099057
Mon Nov 20 16:00:07 +0000 2023,KarinaNovyan,Telkom Indonesia dukung penuh penyediaan infrastuktur dan layanan di IKN #ElevatingYourFuture #KinerjaPositifBUMN @KemenBUMN @Telkomindonesia @erickthohir https://t.co/AERUP3my6E,0,0,0,0,in,618840993,1726631491801862485,https://x.com/KarinaNovyan/status/1726631517059952858
Mon Nov 20 15:57:07 +0000 2023,BUMNnet,Telkom Indonesia dukung penuh penyediaan infrastuktur dan layanan di IKN #ElevatingYourFuture #KinerjaPositifBUMN @KemenBUMN @Telkomindonesia @erickthohir https://t.co/7P1UVUxXzN,0,0,0,0,in,635443533,1726630762072723682,https://x.com/BUMNnet/status/1726630762072723682
Mon Nov 20 12:53:05 +0000 2023,Twisted_Tazz,Telkom Indonesia siapkan rencana pembangunan infrastuktur dan layanan di IKN #ElevatingYourFuture #KinerjaPositifBUMN @KemenBUMN @Telkomindonesia @erickthohir https://t.co/TEB0sRYDSu,0,0,0,0,in,618671670,1726584448844759310,https://x.com/Twisted_Tazz/status/1726584448844759310
Mon Nov 20 12:52:12 +0000 2023,Twisted_Tazz,penyediaan infrastuktur dan layanan digital di IKN didukung penuh oleh Telkom Indonesia #ElevatingYourFuture #KinerjaPositifBUMN @KemenBUMN @Telkomindonesia @erickthohir https://t.co/wfjTBboUSd,0,0,0,0,in,618671670,1726584225955270678,https://x.com/Twisted_Tazz/status/1726584225955270678
Mon Nov 20 12:45:44 +0000 2023,GaspriA,Telkom Indonesia mendukung penuh penyediaan infrastuktur dan layanan digital di IKN #ElevatingYourFuture #KinerjaPositifBUMN @KemenBUMN @Telkomindonesia @erickthohir https://t.co/a8AJOdNOCX,0,0,0,0,in,618360185,1726582596434640919,https://x.com/GaspriA/status/1726582596434640919
